Time,LMP
2025-07-24T00:00,10.68
2025-07-24T00:05,10.57
2025-07-24T00:10,10.47
2025-07-24T00:15,10.38
2025-07-24T00:20,10.3
2025-07-24T00:25,10.23
2025-07-24T00:30,10.17
2025-07-24T00:35,10.12
2025-07-24T00:40,10.08
2025-07-24T00:45,10.04
2025-07-24T00:50,10.02
2025-07-24T00:55,10.0
2025-07-24T01:00,10
2025-07-24T01:05,10.0
2025-07-24T01:10,10.02
2025-07-24T01:15,10.04
2025-07-24T01:20,10.08
2025-07-24T01:25,10.12
2025-07-24T01:30,10.17
2025-07-24T01:35,10.23
2025-07-24T01:40,10.3
2025-07-24T01:45,10.38
2025-07-24T01:50,10.47
2025-07-24T01:55,10.57
2025-07-24T02:00,10.68
2025-07-24T02:05,10.8
2025-07-24T02:10,10.93
2025-07-24T02:15,11.06
2025-07-24T02:20,11.21
2025-07-24T02:25,11.36
2025-07-24T02:30,11.52
2025-07-24T02:35,11.69
2025-07-24T02:40,11.87
2025-07-24T02:45,12.06
2025-07-24T02:50,12.26
2025-07-24T02:55,12.47
2025-07-24T03:00,12.68
2025-07-24T03:05,12.9
2025-07-24T03:10,13.13
2025-07-24T03:15,13.37
2025-07-24T03:20,13.62
2025-07-24T03:25,13.87
2025-07-24T03:30,14.13
2025-07-24T03:35,14.4
2025-07-24T03:40,14.68
2025-07-24T03:45,14.96
2025-07-24T03:50,15.25
2025-07-24T03:55,15.55
2025-07-24T04:00,15.86
2025-07-24T04:05,16.17
2025-07-24T04:10,16.49
2025-07-24T04:15,16.81
2025-07-24T04:20,17.14
2025-07-24T04:25,17.48
2025-07-24T04:30,17.82
2025-07-24T04:35,18.17
2025-07-24T04:40,18.53
2025-07-24T04:45,18.89
2025-07-24T04:50,19.25
2025-07-24T04:55,19.62
2025-07-24T05:00,20.0
2025-07-24T05:05,20.38
2025-07-24T05:10,20.77
2025-07-24T05:15,21.15
2025-07-24T05:20,21.55
2025-07-24T05:25,21.95
2025-07-24T05:30,22.35
2025-07-24T05:35,22.75
2025-07-24T05:40,23.16
2025-07-24T05:45,23.57
2025-07-24T05:50,23.99
2025-07-24T05:55,24.4
2025-07-24T06:00,24.82
2025-07-24T06:05,25.25
2025-07-24T06:10,25.67
2025-07-24T06:15,26.1
2025-07-24T06:20,26.53
2025-07-24T06:25,26.96
2025-07-24T06:30,27.39
2025-07-24T06:35,27.82
2025-07-24T06:40,28.26
2025-07-24T06:45,28.69
2025-07-24T06:50,29.13
2025-07-24T06:55,29.56
2025-07-24T07:00,30.0
2025-07-24T07:05,30.44
2025-07-24T07:10,30.87
2025-07-24T07:15,31.31
2025-07-24T07:20,31.74
2025-07-24T07:25,32.18
2025-07-24T07:30,32.61
2025-07-24T07:35,33.04
2025-07-24T07:40,33.47
2025-07-24T07:45,33.9
2025-07-24T07:50,34.33
2025-07-24T07:55,34.75
2025-07-24T08:00,35.18
2025-07-24T08:05,35.6
2025-07-24T08:10,36.01
2025-07-24T08:15,36.43
2025-07-24T08:20,36.84
2025-07-24T08:25,37.25
2025-07-24T08:30,37.65
2025-07-24T08:35,38.05
2025-07-24T08:40,38.45
2025-07-24T08:45,38.85
2025-07-24T08:50,39.23
2025-07-24T08:55,39.62
2025-07-24T09:00,40.0
2025-07-24T09:05,40.38
2025-07-24T09:10,40.75
2025-07-24T09:15,41.11
2025-07-24T09:20,41.47
2025-07-24T09:25,41.83
2025-07-24T09:30,42.18
2025-07-24T09:35,42.52
2025-07-24T09:40,42.86
2025-07-24T09:45,43.19
2025-07-24T09:50,43.51
2025-07-24T09:55,43.83
2025-07-24T10:00,44.14
2025-07-24T10:05,44.45
2025-07-24T10:10,44.75
2025-07-24T10:15,45.04
2025-07-24T10:20,45.32
2025-07-24T10:25,45.6
2025-07-24T10:30,45.87
2025-07-24T10:35,46.13
2025-07-24T10:40,46.38
2025-07-24T10:45,46.63
2025-07-24T10:50,46.87
2025-07-24T10:55,47.1
2025-07-24T11:00,47.32
2025-07-24T11:05,47.53
2025-07-24T11:10,47.74
2025-07-24T11:15,47.94
2025-07-24T11:20,48.13
2025-07-24T11:25,48.31
2025-07-24T11:30,48.48
2025-07-24T11:35,48.64
2025-07-24T11:40,48.79
2025-07-24T11:45,48.94
2025-07-24T11:50,49.07
2025-07-24T11:55,49.2
2025-07-24T12:00,120.0
2025-07-24T12:05,120.83
2025-07-24T12:10,121.67
2025-07-24T12:15,122.5
2025-07-24T12:20,123.33
2025-07-24T12:25,124.17
2025-07-24T12:30,125.0
2025-07-24T12:35,125.83
2025-07-24T12:40,126.67
2025-07-24T12:45,127.5
2025-07-24T12:50,128.33
2025-07-24T12:55,129.17
2025-07-24T13:00,130.0
2025-07-24T13:05,130.83
2025-07-24T13:10,131.67
2025-07-24T13:15,132.5
2025-07-24T13:20,133.33
2025-07-24T13:25,134.17
2025-07-24T13:30,135.0
2025-07-24T13:35,135.83
2025-07-24T13:40,136.67
2025-07-24T13:45,137.5
2025-07-24T13:50,138.33
2025-07-24T13:55,139.17
2025-07-24T14:00,140.0
2025-07-24T14:05,139.17
2025-07-24T14:10,138.33
2025-07-24T14:15,137.5
2025-07-24T14:20,136.67
2025-07-24T14:25,135.83
2025-07-24T14:30,135.0
2025-07-24T14:35,134.17
2025-07-24T14:40,133.33
2025-07-24T14:45,132.5
2025-07-24T14:50,131.67
2025-07-24T14:55,130.83
2025-07-24T15:00,130.0
2025-07-24T15:05,129.17
2025-07-24T15:10,128.33
2025-07-24T15:15,127.5
2025-07-24T15:20,126.67
2025-07-24T15:25,125.83
2025-07-24T15:30,125.0
2025-07-24T15:35,124.17
2025-07-24T15:40,123.33
2025-07-24T15:45,122.5
2025-07-24T15:50,121.67
2025-07-24T15:55,120.83
2025-07-24T16:00,120.0
2025-07-24T16:05,43.83
2025-07-24T16:10,43.51
2025-07-24T16:15,43.19
2025-07-24T16:20,42.86
2025-07-24T16:25,42.52
2025-07-24T16:30,42.18
2025-07-24T16:35,41.83
2025-07-24T16:40,41.47
2025-07-24T16:45,41.11
2025-07-24T16:50,40.75
2025-07-24T16:55,40.38
2025-07-24T17:00,40.0
2025-07-24T17:05,39.62
2025-07-24T17:10,39.23
2025-07-24T17:15,38.85
2025-07-24T17:20,38.45
2025-07-24T17:25,38.05
2025-07-24T17:30,37.65
2025-07-24T17:35,37.25
2025-07-24T17:40,36.84
2025-07-24T17:45,36.43
2025-07-24T17:50,36.01
2025-07-24T17:55,35.6
2025-07-24T18:00,35.18
2025-07-24T18:05,34.75
2025-07-24T18:10,34.33
2025-07-24T18:15,33.9
2025-07-24T18:20,33.47
2025-07-24T18:25,33.04
2025-07-24T18:30,32.61
2025-07-24T18:35,32.18
2025-07-24T18:40,31.74
2025-07-24T18:45,31.31
2025-07-24T18:50,30.87
2025-07-24T18:55,30.44
2025-07-24T19:00,30.0
2025-07-24T19:05,29.56
2025-07-24T19:10,29.13
2025-07-24T19:15,28.69
2025-07-24T19:20,28.26
2025-07-24T19:25,27.82
2025-07-24T19:30,27.39
2025-07-24T19:35,26.96
2025-07-24T19:40,26.53
2025-07-24T19:45,26.1
2025-07-24T19:50,25.67
2025-07-24T19:55,25.25
2025-07-24T20:00,24.82
2025-07-24T20:05,24.4
2025-07-24T20:10,23.99
2025-07-24T20:15,23.57
2025-07-24T20:20,23.16
2025-07-24T20:25,22.75
2025-07-24T20:30,22.35
2025-07-24T20:35,21.95
2025-07-24T20:40,21.55
2025-07-24T20:45,21.15
2025-07-24T20:50,20.77
2025-07-24T20:55,20.38
2025-07-24T21:00,20.0
2025-07-24T21:05,19.62
2025-07-24T21:10,19.25
2025-07-24T21:15,18.89
2025-07-24T21:20,18.53
2025-07-24T21:25,18.17
2025-07-24T21:30,17.82
2025-07-24T21:35,17.48
2025-07-24T21:40,17.14
2025-07-24T21:45,16.81
2025-07-24T21:50,16.49
2025-07-24T21:55,16.17
2025-07-24T22:00,15.86
2025-07-24T22:05,15.55
2025-07-24T22:10,15.25
2025-07-24T22:15,14.96
2025-07-24T22:20,14.68
2025-07-24T22:25,14.4
2025-07-24T22:30,14.13
2025-07-24T22:35,13.87
2025-07-24T22:40,13.62
2025-07-24T22:45,13.37
2025-07-24T22:50,13.13
2025-07-24T22:55,12.9
2025-07-24T23:00,12.68
2025-07-24T23:05,12.47
2025-07-24T23:10,12.26
2025-07-24T23:15,12.06
2025-07-24T23:20,11.87
2025-07-24T23:25,11.69
2025-07-24T23:30,11.52
2025-07-24T23:35,11.36
2025-07-24T23:40,11.21
2025-07-24T23:45,11.06
2025-07-24T23:50,10.93
2025-07-24T23:55,10.8
