Time,LMP
2025-07-24T00:00,10.61
2025-07-24T00:05,10.52
2025-07-24T00:10,10.43
2025-07-24T00:15,10.35
2025-07-24T00:20,10.27
2025-07-24T00:25,10.21
2025-07-24T00:30,10.15
2025-07-24T00:35,10.11
2025-07-24T00:40,10.07
2025-07-24T00:45,10.04
2025-07-24T00:50,10.02
2025-07-24T00:55,10.0
2025-07-24T01:00,10
2025-07-24T01:05,10.0
2025-07-24T01:10,10.02
2025-07-24T01:15,10.04
2025-07-24T01:20,10.07
2025-07-24T01:25,10.11
2025-07-24T01:30,10.15
2025-07-24T01:35,10.21
2025-07-24T01:40,10.27
2025-07-24T01:45,10.35
2025-07-24T01:50,10.43
2025-07-24T01:55,10.52
2025-07-24T02:00,10.61
2025-07-24T02:05,10.72
2025-07-24T02:10,10.83
2025-07-24T02:15,10.96
2025-07-24T02:20,11.09
2025-07-24T02:25,11.22
2025-07-24T02:30,11.37
2025-07-24T02:35,11.52
2025-07-24T02:40,11.69
2025-07-24T02:45,11.86
2025-07-24T02:50,12.03
2025-07-24T02:55,12.22
2025-07-24T03:00,12.41
2025-07-24T03:05,12.61
2025-07-24T03:10,12.82
2025-07-24T03:15,13.03
2025-07-24T03:20,13.26
2025-07-24T03:25,13.48
2025-07-24T03:30,13.72
2025-07-24T03:35,13.96
2025-07-24T03:40,14.21
2025-07-24T03:45,14.47
2025-07-24T03:50,14.73
2025-07-24T03:55,15.0
2025-07-24T04:00,15.27
2025-07-24T04:05,15.55
2025-07-24T04:10,15.84
2025-07-24T04:15,16.13
2025-07-24T04:20,16.43
2025-07-24T04:25,16.73
2025-07-24T04:30,17.04
2025-07-24T04:35,17.36
2025-07-24T04:40,17.68
2025-07-24T04:45,18.0
2025-07-24T04:50,18.33
2025-07-24T04:55,18.66
2025-07-24T05:00,19.0
2025-07-24T05:05,19.34
2025-07-24T05:10,19.69
2025-07-24T05:15,20.04
2025-07-24T05:20,20.39
2025-07-24T05:25,20.75
2025-07-24T05:30,21.11
2025-07-24T05:35,21.48
2025-07-24T05:40,21.84
2025-07-24T05:45,22.21
2025-07-24T05:50,22.59
2025-07-24T05:55,22.96
2025-07-24T06:00,23.34
2025-07-24T06:05,23.72
2025-07-24T06:10,24.1
2025-07-24T06:15,24.49
2025-07-24T06:20,24.87
2025-07-24T06:25,25.26
2025-07-24T06:30,25.65
2025-07-24T06:35,26.04
2025-07-24T06:40,26.43
2025-07-24T06:45,26.82
2025-07-24T06:50,27.21
2025-07-24T06:55,27.61
2025-07-24T07:00,28.0
2025-07-24T07:05,28.39
2025-07-24T07:10,28.79
2025-07-24T07:15,29.18
2025-07-24T07:20,29.57
2025-07-24T07:25,29.96
2025-07-24T07:30,30.35
2025-07-24T07:35,30.74
2025-07-24T07:40,31.13
2025-07-24T07:45,31.51
2025-07-24T07:50,31.9
2025-07-24T07:55,32.28
2025-07-24T08:00,32.66
2025-07-24T08:05,33.04
2025-07-24T08:10,33.41
2025-07-24T08:15,33.79
2025-07-24T08:20,34.16
2025-07-24T08:25,34.52
2025-07-24T08:30,34.89
2025-07-24T08:35,35.25
2025-07-24T08:40,35.61
2025-07-24T08:45,35.96
2025-07-24T08:50,36.31
2025-07-24T08:55,36.66
2025-07-24T09:00,37.0
2025-07-24T09:05,37.34
2025-07-24T09:10,37.67
2025-07-24T09:15,38.0
2025-07-24T09:20,38.32
2025-07-24T09:25,38.64
2025-07-24T09:30,38.96
2025-07-24T09:35,39.27
2025-07-24T09:40,39.57
2025-07-24T09:45,39.87
2025-07-24T09:50,40.16
2025-07-24T09:55,40.45
2025-07-24T10:00,40.73
2025-07-24T10:05,41.0
2025-07-24T10:10,41.27
2025-07-24T10:15,41.53
2025-07-24T10:20,41.79
2025-07-24T10:25,42.04
2025-07-24T10:30,42.28
2025-07-24T10:35,42.52
2025-07-24T10:40,42.74
2025-07-24T10:45,42.97
2025-07-24T10:50,43.18
2025-07-24T10:55,43.39
2025-07-24T11:00,43.59
2025-07-24T11:05,43.78
2025-07-24T11:10,43.97
2025-07-24T11:15,44.14
2025-07-24T11:20,44.31
2025-07-24T11:25,44.48
2025-07-24T11:30,44.63
2025-07-24T11:35,44.78
2025-07-24T11:40,44.91
2025-07-24T11:45,45.04
2025-07-24T11:50,45.17
2025-07-24T11:55,45.28
2025-07-24T12:00,100.0
2025-07-24T12:05,100.83
2025-07-24T12:10,101.67
2025-07-24T12:15,102.5
2025-07-24T12:20,103.33
2025-07-24T12:25,104.17
2025-07-24T12:30,105.0
2025-07-24T12:35,105.83
2025-07-24T12:40,106.67
2025-07-24T12:45,107.5
2025-07-24T12:50,108.33
2025-07-24T12:55,109.17
2025-07-24T13:00,110.0
2025-07-24T13:05,110.83
2025-07-24T13:10,111.67
2025-07-24T13:15,112.5
2025-07-24T13:20,113.33
2025-07-24T13:25,114.17
2025-07-24T13:30,115.0
2025-07-24T13:35,115.83
2025-07-24T13:40,116.67
2025-07-24T13:45,117.5
2025-07-24T13:50,118.33
2025-07-24T13:55,119.17
2025-07-24T14:00,120.0
2025-07-24T14:05,119.17
2025-07-24T14:10,118.33
2025-07-24T14:15,117.5
2025-07-24T14:20,116.67
2025-07-24T14:25,115.83
2025-07-24T14:30,115.0
2025-07-24T14:35,114.17
2025-07-24T14:40,113.33
2025-07-24T14:45,112.5
2025-07-24T14:50,111.67
2025-07-24T14:55,110.83
2025-07-24T15:00,110.0
2025-07-24T15:05,109.17
2025-07-24T15:10,108.33
2025-07-24T15:15,107.5
2025-07-24T15:20,106.67
2025-07-24T15:25,105.83
2025-07-24T15:30,105.0
2025-07-24T15:35,104.17
2025-07-24T15:40,103.33
2025-07-24T15:45,102.5
2025-07-24T15:50,101.67
2025-07-24T15:55,100.83
2025-07-24T16:00,100.0
2025-07-24T16:05,40.45
2025-07-24T16:10,40.16
2025-07-24T16:15,39.87
2025-07-24T16:20,39.57
2025-07-24T16:25,39.27
2025-07-24T16:30,38.96
2025-07-24T16:35,38.64
2025-07-24T16:40,38.32
2025-07-24T16:45,38.0
2025-07-24T16:50,37.67
2025-07-24T16:55,37.34
2025-07-24T17:00,37.0
2025-07-24T17:05,36.66
2025-07-24T17:10,36.31
2025-07-24T17:15,35.96
2025-07-24T17:20,35.61
2025-07-24T17:25,35.25
2025-07-24T17:30,34.89
2025-07-24T17:35,34.52
2025-07-24T17:40,34.16
2025-07-24T17:45,33.79
2025-07-24T17:50,33.41
2025-07-24T17:55,33.04
2025-07-24T18:00,32.66
2025-07-24T18:05,32.28
2025-07-24T18:10,31.9
2025-07-24T18:15,31.51
2025-07-24T18:20,31.13
2025-07-24T18:25,30.74
2025-07-24T18:30,30.35
2025-07-24T18:35,29.96
2025-07-24T18:40,29.57
2025-07-24T18:45,29.18
2025-07-24T18:50,28.79
2025-07-24T18:55,28.39
2025-07-24T19:00,28.0
2025-07-24T19:05,27.61
