Time,LMP
2025-07-24T00:00,10.75
2025-07-24T00:05,10.63
2025-07-24T00:10,10.52
2025-07-24T00:15,10.42
2025-07-24T00:20,10.33
2025-07-24T00:25,10.26
2025-07-24T00:30,10.19
2025-07-24T00:35,10.13
2025-07-24T00:40,10.08
2025-07-24T00:45,10.05
2025-07-24T00:50,10.02
2025-07-24T00:55,10.01
2025-07-24T01:00,10
2025-07-24T01:05,10.01
2025-07-24T01:10,10.02
2025-07-24T01:15,10.05
2025-07-24T01:20,10.08
2025-07-24T01:25,10.13
2025-07-24T01:30,10.19
2025-07-24T01:35,10.26
2025-07-24T01:40,10.33
2025-07-24T01:45,10.42
2025-07-24T01:50,10.52
2025-07-24T01:55,10.63
2025-07-24T02:00,10.75
2025-07-24T02:05,10.88
2025-07-24T02:10,11.02
2025-07-24T02:15,11.17
2025-07-24T02:20,11.33
2025-07-24T02:25,11.5
2025-07-24T02:30,11.67
2025-07-24T02:35,11.86
2025-07-24T02:40,12.06
2025-07-24T02:45,12.27
2025-07-24T02:50,12.49
2025-07-24T02:55,12.71
2025-07-24T03:00,12.95
2025-07-24T03:05,13.19
2025-07-24T03:10,13.45
2025-07-24T03:15,13.71
2025-07-24T03:20,13.98
2025-07-24T03:25,14.26
2025-07-24T03:30,14.55
2025-07-24T03:35,14.84
2025-07-24T03:40,15.15
2025-07-24T03:45,15.46
2025-07-24T03:50,15.78
2025-07-24T03:55,16.11
2025-07-24T04:00,16.44
2025-07-24T04:05,16.79
2025-07-24T04:10,17.14
2025-07-24T04:15,17.49
2025-07-24T04:20,17.86
2025-07-24T04:25,18.23
2025-07-24T04:30,18.61
2025-07-24T04:35,18.99
2025-07-24T04:40,19.38
2025-07-24T04:45,19.78
2025-07-24T04:50,20.18
2025-07-24T04:55,20.59
2025-07-24T05:00,21.0
2025-07-24T05:05,21.42
2025-07-24T05:10,21.84
2025-07-24T05:15,22.27
2025-07-24T05:20,22.7
2025-07-24T05:25,23.14
2025-07-24T05:30,23.58
2025-07-24T05:35,24.03
2025-07-24T05:40,24.48
2025-07-24T05:45,24.93
2025-07-24T05:50,25.38
2025-07-24T05:55,25.84
2025-07-24T06:00,26.31
2025-07-24T06:05,26.77
2025-07-24T06:10,27.24
2025-07-24T06:15,27.71
2025-07-24T06:20,28.18
2025-07-24T06:25,28.65
2025-07-24T06:30,29.13
2025-07-24T06:35,29.6
2025-07-24T06:40,30.08
2025-07-24T06:45,30.56
2025-07-24T06:50,31.04
2025-07-24T06:55,31.52
2025-07-24T07:00,32.0
2025-07-24T07:05,32.48
2025-07-24T07:10,32.96
2025-07-24T07:15,33.44
2025-07-24T07:20,33.92
2025-07-24T07:25,34.4
2025-07-24T07:30,34.87
2025-07-24T07:35,35.35
2025-07-24T07:40,35.82
2025-07-24T07:45,36.29
2025-07-24T07:50,36.76
2025-07-24T07:55,37.23
2025-07-24T08:00,37.69
2025-07-24T08:05,38.16
2025-07-24T08:10,38.62
2025-07-24T08:15,39.07
2025-07-24T08:20,39.52
2025-07-24T08:25,39.97
2025-07-24T08:30,40.42
2025-07-24T08:35,40.86
2025-07-24T08:40,41.3
2025-07-24T08:45,41.73
2025-07-24T08:50,42.16
2025-07-24T08:55,42.58
2025-07-24T09:00,43.0
2025-07-24T09:05,43.41
2025-07-24T09:10,43.82
2025-07-24T09:15,44.22
2025-07-24T09:20,44.62
2025-07-24T09:25,45.01
2025-07-24T09:30,45.39
2025-07-24T09:35,45.77
2025-07-24T09:40,46.14
2025-07-24T09:45,46.51
2025-07-24T09:50,46.86
2025-07-24T09:55,47.21
2025-07-24T10:00,47.56
2025-07-24T10:05,47.89
2025-07-24T10:10,48.22
2025-07-24T10:15,48.54
2025-07-24T10:20,48.85
2025-07-24T10:25,49.16
2025-07-24T10:30,49.45
2025-07-24T10:35,49.74
2025-07-24T10:40,50.02
2025-07-24T10:45,50.29
2025-07-24T10:50,50.55
2025-07-24T10:55,50.81
2025-07-24T11:00,51.05
2025-07-24T11:05,51.29
2025-07-24T11:10,51.51
2025-07-24T11:15,51.73
2025-07-24T11:20,51.94
2025-07-24T11:25,52.14
2025-07-24T11:30,52.33
2025-07-24T11:35,52.5
2025-07-24T11:40,52.67
2025-07-24T11:45,52.83
2025-07-24T11:50,52.98
2025-07-24T11:55,53.12
2025-07-24T12:00,130.0
2025-07-24T12:05,130.83
2025-07-24T12:10,131.67
2025-07-24T12:15,132.5
2025-07-24T12:20,133.33
2025-07-24T12:25,134.17
2025-07-24T12:30,135.0
2025-07-24T12:35,135.83
2025-07-24T12:40,136.67
2025-07-24T12:45,137.5
2025-07-24T12:50,138.33
2025-07-24T12:55,139.17
2025-07-24T13:00,140.0
2025-07-24T13:05,140.83
2025-07-24T13:10,141.67
2025-07-24T13:15,142.5
2025-07-24T13:20,143.33
2025-07-24T13:25,144.17
2025-07-24T13:30,145.0
2025-07-24T13:35,145.83
2025-07-24T13:40,146.67
2025-07-24T13:45,147.5
2025-07-24T13:50,148.33
2025-07-24T13:55,149.17
2025-07-24T14:00,150.0
2025-07-24T14:05,149.17
2025-07-24T14:10,148.33
2025-07-24T14:15,147.5
2025-07-24T14:20,146.67
2025-07-24T14:25,145.83
2025-07-24T14:30,145.0
2025-07-24T14:35,144.17
2025-07-24T14:40,143.33
2025-07-24T14:45,142.5
2025-07-24T14:50,141.67
2025-07-24T14:55,140.83
2025-07-24T15:00,140.0
2025-07-24T15:05,139.17
2025-07-24T15:10,138.33
2025-07-24T15:15,137.5
2025-07-24T15:20,136.67
2025-07-24T15:25,135.83
2025-07-24T15:30,135.0
2025-07-24T15:35,134.17
2025-07-24T15:40,133.33
2025-07-24T15:45,132.5
2025-07-24T15:50,131.67
2025-07-24T15:55,130.83
2025-07-24T16:00,130.0
2025-07-24T16:05,47.21
2025-07-24T16:10,46.86
2025-07-24T16:15,46.51
2025-07-24T16:20,46.14
2025-07-24T16:25,45.77
2025-07-24T16:30,45.39
2025-07-24T16:35,45.01
2025-07-24T16:40,44.62
2025-07-24T16:45,44.22
2025-07-24T16:50,43.82
2025-07-24T16:55,43.41
2025-07-24T17:00,43.0
2025-07-24T17:05,42.58
2025-07-24T17:10,42.16
2025-07-24T17:15,41.73
2025-07-24T17:20,41.3
2025-07-24T17:25,40.86
2025-07-24T17:30,40.42
2025-07-24T17:35,39.97
2025-07-24T17:40,39.52
2025-07-24T17:45,39.07
2025-07-24T17:50,38.62
2025-07-24T17:55,38.16
